school_name,address,city,county,zip_code,school_nurse,school_type,enrolled,num_immune_mmr,num_exempt_mmr,num_compliance_mmr,num_pbe,num_medical_exempt,num_pbe_exempt_all
BOULDER CREEK ELEMENTARY,8045 E PORTOBELLO AVE,MESA,MARICOPA,85212,YES,PUBLIC,93,90,3,93,6,0,2
BOULDER CREEK ELEMENTARY SCHOOL,22801 N 22ND ST,PHOENIX,MARICOPA,85024,YES,PUBLIC,110,108,2,110,7,0,0
BRIDGES ELEMENTARY SCHOOL,5205 S SOBOBA ST,GILBERT,MARICOPA,85298,YES,PUBLIC,85,84,1,85,2,2,1
BRUNSON-LEE ELEMENTARY SCHOOL,1350 N 48TH ST,PHOENIX,MARICOPA,85008,NO,PUBLIC,36,35,1,36,0,0,1
BUCKEYE PRIMARY SCHOOL,210 S 6TH ST,BUCKEYE,MARICOPA,85326,YES,PUBLIC,82,81,1,82,3,0,1
BULLHEAD CITY JR HIGH SCHOOL,1062 HANCOCK RD,BULLHEAD CITY,MOHAVE,86442,YES,PUBLIC,136,135,1,136,4,0,1
BURK ELEMENTARY SCHOOL,545 N BURK ST,GILBERT,MARICOPA,85234,YES,PUBLIC,55,54,1,55,2,0,0
BURKE BASIC SCHOOL,131 E SOUTHERN AVE,MESA,MARICOPA,85210,YES,CHARTER,81,81,0,81,0,1,0
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,PUBLIC,81,79,2,81,4,3,3
C E ROSE ELEMENTARY SCHOOL,710 W MICHIGAN DR,TUCSON,PIMA,85714,YES,PUBLIC,86,86,0,86,0,0,0
C J JORGENSEN SCHOOL,1701 W ROESER RD,PHOENIX,MARICOPA,85041,YES,PUBLIC,56,56,0,56,10,0,0
C O GREENFIELD SCHOOL,7009 S 10TH ST,PHOENIX,MARICOPA,85042,NO,PUBLIC,145,143,0,143,4,4,4
C.C.U.S.D.#93 - HORSESHOE TRAILS ELEMENTARY,5405 EAST PINNACLE VISTA DR,PHOENIX,MARICOPA,85085,NO,PUBLIC,125,110,15,125,21,0,8
C.U.S.D.#80 - RIGGS ELEMENTARY - SCHOOL-AGE/PRESCHOOL,6930 SOUTH SEVILLE BOULEVARD WEST,GILBERT,MARICOPA,85298,NO,PUBLIC,146,141,5,146,20,0,5
CACTUS MIDDLE SCHOOL,1220 E KORTSEN RD,CASA GRANDE,PINAL,85222,YES,PUBLIC,286,281,5,286,10,1,5
CACTUS VIEW ELEMENTARY SCHOOL,17602 N CENTRAL AVE,PHOENIX,MARICOPA,85022,YES,PUBLIC,103,100,3,103,4,0,1
CACTUS WREN ELEMENTARY SCHOOL,9650 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,PUBLIC,78,77,1,78,3,1,1
CALABASAS SCHOOL,131 CAMINO MARICOPA,RIO RICO,SANTA CRUZ,85648,YES,PUBLIC,115,114,1,115,1,0,1
CALIBRE ACADEMY SURPRISE,15688 W ACOMA DR,SURPRISE,MARICOPA,85379,NO,CHARTER,55,54,1,55,0,0,1
CAMELBACK ACADEMY,7634 W CAMELBACK RD,GLENDALE,MARICOPA,85303,NO,CHARTER,59,58,0,58,0,0,0
CAMP VERDE MIDDLE SCHOOL,370 CAMP LINCOLN RD,CAMP VERDE,YAVAPAI,86322,YES,PUBLIC,107,102,5,107,12,0,4
CAMPO BELLO ELEMENTARY SCHOOL,2650 E CONTENTION MINE RD,PHOENIX,MARICOPA,85032,YES,PUBLIC,67,67,0,67,1,0,0
CANDEO SCHOOLS,9965 W CALLE LEJOS,PEORIA,MARICOPA,85383,NO,CHARTER,57,55,2,57,2,0,1
CANYON BREEZE ELEMENTARY,11675 W ENCANTO BLVD,AVONDALE,MARICOPA,85392,NO,PUBLIC,93,91,0,91,2,0,0
CANYON DE CHELLY ELEMENTARY SCHOOL,HWY 191,CHINLE,APACHE,86503,NO,PUBLIC,36,36,0,36,0,0,0
CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,GLENDALE,MARICOPA,85306,YES,PUBLIC,47,44,3,47,5,0,1
CANYON POINTE ACADEMY,4941 W UNION HILLS DR,GLENDALE,MARICOPA,85308,NO,CHARTER,31,30,1,31,3,0,0
CANYON RIDGE ELEMENTARY,17359 WEST SURPRISE FARMS LOOP NORTH,SURPRISE,MARICOPA,85388,YES,PUBLIC,96,90,6,96,10,1,5
CANYON RIM ELEMENTARY,3045 S CANYON RIM,MESA,MARICOPA,85212,YES,PUBLIC,126,122,4,126,17,0,3
CANYON SPRINGS,42901 N 45TH AVE,ANTHEM,MARICOPA,85087,YES,PUBLIC,94,92,1,93,2,1,1
CAPITOL ELEMENTARY SCHOOL,330 N 16TH AVE,PHOENIX,MARICOPA,85007,YES,PUBLIC,64,64,0,64,0,0,0
CAPPS ELEMENTARY SCHOOL,3375 BUCKSKIN CANYON RD,HEBER,NAVAJO,85928,YES,PUBLIC,40,36,3,39,4,0,3
CAREER SUCCESS SCHOOL - SAGE CAMPUS,3120 N 32ND ST,PHOENIX,MARICOPA,85018,NO,CHARTER,23,23,0,23,0,0,0
CARMICHAEL ELEMENTARY SCHOOL,701 NE CARMICHAEL AVE,SIERRA VISTA,COCHISE,85635,YES,PUBLIC,59,57,2,59,2,0,2
CAROL RAE RANCH ELEMENTARY,3777 E HOUSTON AVE,GILBERT,MARICOPA,85234,YES,PUBLIC,89,88,1,89,4,0,1
CARPE DIEM COLLEGIATE E-LEARNING COMMUNITY,3777 W 22ND LN,YUMA,YUMA,85364,NO,CHARTER,46,46,0,46,0,0,0
CARTWRIGHT ELEMENTARY SCHOOL,5833 W THOMAS RD,PHOENIX,MARICOPA,85031,YES,PUBLIC,114,113,1,114,1,0,1
CASA GRANDE MIDDLE SCHOOL,300 W MC MURRAY BLVD,CASA GRANDE,PINAL,85222,YES,PUBLIC,230,230,0,230,0,0,0
CASAS CHRISTIAN SCHOOL,10801 N LA CHOLLA BLVD,TUCSON,PIMA,85742,NO,PRIVATE,24,22,2,24,3,0,3
CASTLE DOME MIDDLE SCHOOL,2353 S OTONDO DR,YUMA,YUMA,85365,NO,PUBLIC,286,283,3,286,9,0,3
CATALINA VENTURA SCHOOL,6331 N 39TH AVE,PHOENIX,MARICOPA,85019,YES,PUBLIC,154,152,2,154,5,1,2
CAURUS ACADEMY,41900 S 42ND AVE,PHOENIX,MARICOPA,85086,NO,CHARTER,37,32,5,37,6,0,5
CENTENNIAL ELEMENTARY SCHOOL,3507 S RANCH HOUSE PKWY,GILBERT,MARICOPA,85297,NO,PUBLIC,142,140,2,142,9,0,2
CENTENNIAL ELEMENTARY SCHOOL,2200 W WETMORE RD,TUCSON,PIMA,85705,NO,PUBLIC,78,76,2,78,2,0,1
CENTER FOR ACADEMIC SUCCESS #3,919 3RD ST,DOUGLAS,COCHISE,85607,NO,CHARTER,59,56,0,56,0,0,0
CENTER FOR ACADEMIC SUCCESS #5,900 CARMELITA DR,SIERRA VISTA,COCHISE,85635,NO,CHARTER,36,34,2,36,2,0,2
CENTER FOR EDUCATIONAL EXCELLENCE,1700 E ELLIOT RD,TEMPE,MARICOPA,85284,NO,CHARTER,39,37,2,39,0,0,2
CENTERRA MIRAGE ELEMENTARY,15151 WEST CENTERRA DRIVE SOUTH,GOODYEAR,MARICOPA,85338,YES,PUBLIC,70,69,0,70,3,1,1
CESAR CHAVEZ ELEMENTARY,1130 N 10TH AVE,SAN LUIS,YUMA,85349,YES,PUBLIC,112,112,0,112,0,0,0
CESAR E CHAVEZ COMMUNITY SCHOOL,4001 S 3RD ST,PHOENIX,MARICOPA,85040,NO,PUBLIC,63,63,0,63,0,0,0
CHALLENGE CHARTER SCHOOL,5801 W GREENBRIAR DR,GLENDALE,MARICOPA,85308,NO,CHARTER,42,42,0,42,4,0,0
CHALLENGER MIDDLE SCHOOL,6905 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,PUBLIC,130,128,0,130,5,0,5
CHAMPION CHANDLER,250 S MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,CHARTER,64,61,2,63,2,0,0
CHAMPION SCHOOLS,7900 S JESSE OWENS PKWY,PHOENIX,MARICOPA,85042,NO,CHARTER,67,67,0,67,0,0,0
CHANDLER PREPARATORY ACADEMY,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,CHARTER,135,130,5,135,9,0,4
